"doi","id","subject","title","authors","year","publisher","resulttype","language","journal","url","paper_abstract","project_id","accessright","x","y","area_uri","cluster_labels","area","readers.mendeley","citation_count","cited_by_tweeters_count","readers","file_hash"
"","dedup_wf_001::06b3bbf6e82944dbb1beb74d99a518f1","performance","Public services and the productivity challenge","Djellal, Faridah","2009-07-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01111797/document","This work is devoted to an old question, but which faces a sharp renewed interest: productivity in its relationship with public services. Public services constitute a particularly difficult challenge for productivity (its definition, its evaluation, but also its strategic implementation), insofar as they add to the traditional difficulties induced by the service dimension of the output, other difficulties related to its public (or non-market) dimension. This work aims at accounting, on the one hand, for these analytical difficulties, and on the other hand, for a certain number of measurement experiments (traditional index methods, frontier techniques). It also aims at highlighting the advantage of more critical alternative frameworks, which question the relevance of the productivity concept.","217247","Open Access","-0.3306","0.5126","4","","",NA,NA,NA,"",""
"","dedup_wf_001::0b06dc71dfc7627e7028cf7a94fa5186","Innovation","Public-private innovation networks in services (ServPPINs) are not like other innovation networks (INs): what lessons for theory and public policy?","Faridah Djellal","2010-01-01","HAL CCSD","publication","","","https://halshs.archives-ouvertes.fr/halshs-01113972/document","International audience; The concept of innovation network (IN) is a well-established one that has been the object of an extensive theoretical and empirical literature. Our subject in this paper is a particular kind of innovation network, as yet relatively unknown but which is developing against the background of economies dominated by service industries; we term them public-private innovation networks in services (ServPPINs). Such networks involve collaborations between public and private service organisations in the field of innovation. They differ from traditional INs in several ways. Firstly, the relations between the public actors and the private actors lie at the heart of the analysis. Secondly, service providers are the main actors in them. Finally, non-technological innovation (service innovation), which is often overlooked in the literature, is taken into account. This paper has a twofold purpose, in that it seeks to be both theoretical and operational. Its first objective is to examine the way in which the characteristics of ServPPINs can help to modify and enhance the traditional concept of IN, its second to draw any possible lessons there might be for public policy. The paper is based on both a literature survey and analysis of a database of ServPPINs case studies compiled in the course of the ServPPIN (Public Private Innovation Networks in Services) European project.","217247","Open Access","0.0188","0.011","8","","",NA,NA,NA,"",""
"","dedup_wf_001::5bbc9d3282975463f1bc848a0a324378","innovation","ServPPIN: a review of scientific findings","Luis Rubalcaba","2011-01-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01111766/document","ServPPIN is a research project which focuses on the role of public and private services on growth and welfare and the particular role of public-private innovation networks (PPIN). Public-private innovation networks are considered to be an organisational platform in which public and private services can perform complementarities and synergies in many ways. The project analyses public and private services, and their impact on growth and welfare. In particular it focuses on service innovation and on public-private services, and their impact on growth and welfare. Specifically, the main objectives of ServPPIN are: •To identify the linkages between services, economic and social growth, understanding the contribution of service innovations in the current economy and society and any differences that may exist between the public and private sectors. •To understand how public-private sector interactions function, and how they can be better managed by private and public sector policy-makers to increase performance and welfare. •To understand the characteristics of public-private service networks that induces innovation, growth, employment and welfare. ServPPIN has undertaken new theoretical and empirical fieldwork involving cross-country and cross-sector empirical analysis. New techniques are applied for impact analysis: both public and private services, comparing impacts on performance (productivity, competitiveness) with impacts on welfare (e.g., employment, service quality, ‘universal’ access to services). The project has been organised around nine working packages (WP). In order to define the service innovation and service public-private innovation networks (ServPPINs) concept, and to guide the interface between theory and empirical research, the project has developed an analytical framework for studying multi-institutional networks. The empirical research has followed a three-pronged approach: •A large-scale statistical analysis of public and private services in growth and welfare at the macroeconomic level. •A statistical analysis of the contributions ServPPINs to performance, growth and welfare at the meso and sectoral level. •Case studies covering major services types: health, transport and tourism and knowledge intensive services. The project has produced new knowledge and European added value through: •Knowledge creation on the service economy: growth factors, facilitators and impacts on productivity, employment, socioeconomic changes, and welfare. •New approach to service innovation from a multi-agent framework perspective. •Understanding of public-private interactions through the case of networks and related dynamics including the use of life cycle theory. •Drawing of functional and effective policy lines. ServPPIN tackles the key developments and impacts of public-private services provision and of public-private innovation networks (PPINs) at three levels of analysis: macro, meso and micro. At macro level the main outcomes of the project are related to new service developments, service innovation and the contribution to growth and welfare. The project studies the stylized facts on public, private and mixed services; their similarities and dissimilarities across the enlarged EU; the challenges of the EU service economy; the explanatory factors of services growth and assesses the performance and efficiency of services. At present, the ever-increasing and dynamic role of services in modern societies has led to increasing levels of interaction between public and private services and to the development of mixed forms. Moreover, across the enlarged EU, the dominant trend is towards the increasing participation of private services in total employment, although a diverse macro and meso mapping of service economies in close correlation with social and institutional models can also be found. Furthermore, the variety of service economies in the EU can be explained on the basis of the different roles played by factors such as the state, social changes, labour market institutions and previous developments in the evolution of public, private and mixed services. ServPPIN has also proven that although private and public services have made significant contributions to aggregated growth in the EU in recent years, their impacts should also be assessed on the basis of a multidimensional approach which takes into account outcomes and quality aspects. In addition, the project addresses the different dimensions of public and private service innovation and examines the impacts of innovation on productivity, growth and employment. Services, particularly the knowledge-based ones, are very active in terms of innovation in all developed countries. Besides technological innovations, non-technological or intangible forms of innovations play an important role in services despite not being comprehensively captured by statistics yet. Along with the problems related to the measurement of innovation, lies another one concerning performance. Thus, an innovation and a performance ‘gap’ are identified in contemporary advanced service economies. ServPPIN aligns with the integrative perpective of innovation in services, also studying service innovation specificities in the field of public services. Public and private innovation networks can be partly related to the ‘open innovation’ models and social innovation models which have the particularities of being cooperative and interactive. At meso level the main outcomes relate to theory developments under multi-institutional frameworks, the concept of innovation network life cycle and the study of the role played by evolutionary inefficiencies in the networks. The application of social network analysis allows acknowledging for the heterogeneity of actors in the network and their different roles. From this focus on networks, we derive a new rational of innovation policy that can be summarized under ‘avoiding evolutionary inefficiencies’. This approach seeks to avoid situations which hamper the economic development. Such network inefficiencies concern the amount of existing links among the relevant actors, the size of the network, its structure, and the different roles that the individual actors play within the network. In this perspective, the structures and dynamics of innovation networks become the focus of attention as well as the starting point of action in innovation policy. At micro level, ServPPIN followed a case study approach. In 2008/2009, the project teams carried out 40 case studies in seven different countries in the following sectors: transport; health services and in knowledge-intensive services and tourism. Case studies provide a micro-perspective on the emergence of innovation networks over their life cycle and give insight as regards drivers, actor configurations, impacts and critical events of their evolution over time. The key role played by the third sector and entrepreneurship in many PPINs is stressed which is also closely connected with rising social innovation. Results have shown the importance of cooperation and interaction in innovative service networking between public and private agents -and civil third sector, allowing exploiting potential complementarities and synergies in areas such as credibility, dissemination, speeding up the process of agenda setting and decision making, more comprehensive view of the problems, legitimacy, resources, efficiency, flexibility, public research more efficient, learning capacity and knowledge transfer. ServPPINs are mainly organizational networks, often small, professional and goal oriented that can be partly considered social innovation in some cases, but they cannot be considered as social networks in full. The success of service innovation networks can derived from four main interrelated sources: a. The role of promoters and drivers -both internal and external- of ServPPINs is essential. Success factors require the definition and implementation of a joint business case, trust -fundamental in many of the case studies analyzed-, a good entrepreneurial fit, flexible structures, use of inputs from benchmarking exercises, and pro-innovation enterpreneurship and culture. Finance also play a role as well as the establishment of the right strategy between bottom-up or top-bottom set up that may vary depending on the particular service innovation to be developed and the institutional context. b.The integration of a particular individual innovation network within systemic and social network, what can be reflected in the role of the role of third sector, the integration in local community, and the different facilitators from institutions such as universities or public and policy administrations and, in general, society through social innovation networks. The muti-agent framework for service innovation has been tested and can be considered as a appropriate platform where different agents and interact to make a network innovative and successful. To some extent, successful ServPPINs can be considered the outcome of successful social innovation crystallized in a the small, professional and goal-oriented nature of most of them c.The overcoming of barriers to ServPPINs in areas such as the rigidity of public administrations, the mistrust and expectations mismatch, the existence of different interests and incentive systems, the problem of free riders and asymmetric information, networking competences and, in some cases, mainly knowledge-oriented services, appropriability problems. d.The reduction of evolutionary inefficiencies in the lice cycles of Servppin where networks are not efficient enough to adapt to the changing phases of their life and the different external and internal elements that can drastically affect their development, their expected functioning and impact and even their own nature and composition. At policy level three broad objectives of possible policy intervention are identified to overcome market and systemic failures, reduce evolutionary inefficiencies and increase the contribution of ServPPINs to growth and welfare: •Strengthening service-specific innovation and innovation capabilities of firms, users and other agents involved in innovation •Facilitating co-operation and networks involving service and social innovation •Empowering the public sector and the third sector for co-operation: role of civil society Moreover, the promotion of ServPPINs may be based on the enhancement and application of a full range of policies such as: R&D policies, innovation policies, public procurement, standards, regional policies, employment & skills, internal market, competition, health, transport, tourism, etc. In this sense, service-oriented innovation policy is not necessarily aimed at specific individual’s service sector: in contrast, it can be seen as a predominantly horizontal policy, going across sectors, based on service innovation being considered as a systemic dimension useful for any kind of economic activity, thus, encouraging the development of public-private innovative networks.","217247","Open Access","-0.0924","-0.0968","6","","",NA,NA,NA,"",""
"","dedup_wf_001::46a9467223abbc1cf441556a694f268e","innovation","ServPPIN. The Contribution of Public and Private Services to European Growth and Welfare, and the Role of Public-Private Innovation Networks. Servppin Final Publishable Summary Report","L. Rubalcaba","2011-01-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01111787/document","ServPPIN is a research project focusing on the role of public and private services in growth and welfare and the particular role of public-private innovation networks (PPINs). Service public-private innovation networks (ServPPINs) are a new phenomenon across the EU. These collaborative alliances between public and private sector organisations bring together and develop complementarities and synergies between the different types of knowledge, technologies, competences, and services that each partner specialises in. The main objectives of the project were to identify the linkages between services, economic and social growth, and to understand the contribution of service innovations in the current economy and society, as well as any differences that may exist between the public and private sectors. This requires an understanding how public-private sector interactions function in the context of services, and how they can be better managed by private and public sector policy-makers to increase performance and welfare. It also requires an understanding of the characteristics of public-private service networks that induce innovation, and therefore growth, employment and welfare. The theoretical and empirical fieldwork has involved cross-country and cross-sector empirical analysis. To define the service innovation and service public-private innovation networks concept, and to guide the interface between theory and empirical research, the project has developed an analytical framework for studying multiinstitutional networks. The empirical research has followed a three-pronged approach at macro-, meso- and micro- economic levels including case studies covering the major service sectors of health, transport, tourism and knowledge intensive services. The key findings of the project are: 1. Services are essential sources for growth which provide new value-added . There are different patterns of services development across the enlarged EU, and the variety of service economies models are embedded in diverse social and institutional models in Europe. 2. Service innovation is a way to improve both competitiveness and welfare. Europe shows both innovation gaps and performance gaps that cannot be addressed through the use of technological innovation only: non-technological innovation, organisational innovation and open and social innovation are also essential modes of innovation. 3. ServPPINs provide an opportunity to improve innovation in services, both economic and social innovation. Policy intervention may increase the contribution of ServPPINs to growth and welfare in the following way: i) by strengthening service-specific innovation and innovation capabilities of firms, users and other agents; ii) by facilitating co-operation and networks involving service and social innovation; iii) by empowering the public sector and the third sector for co-operation. 4. ServPPINs represent a new mode of creating innovative types of services that otherwise would not be possible in the context of New Public Management approaches that have come to dominate the public sector in recent years. A key set of policy implications follow: ServPPINs can be promoted through a mix of existing R&D policies, innovation policies, public procurement, regional policies, competition policies and employment & skills policies, among others. But these need to be reoriented to facilitate the creation and the growth of ServPPINs.","217247","Open Access","-0.0635","-0.1268","6","","",NA,NA,NA,"",""
"","dedup_wf_001::57a6d1614a74e3693c83e629501f46e9","innovation","Public-Private Innovation Networks in Services: the dynamics of cooperation in service innovation","Gallouj, FaÏz","2013-01-01","Edward Elgar","publication","","","","Contributors: M. Bucar, B. Dachs, G. Di Meglio, F. Djellal, L. Fuglsang, J. Gallego, F. Gallouj, L. Green, B. Heller-Schuh, A. Jaklic, P. Labarthe, F. Lissoni, C. Merlin-Brogniart, O. Montes Pineda, A.-C. Moursli-Provost, A. Pyka, L. Rubalcaba, D. Schartinger, B. Schön, M. Stare, J. Sundbo, I. Wanzenböck, K.M. Weber, P. Windrum; International audience; This book is devoted to the study of public–private innovation networks in services (ServPPINs). These are a new type of innovation network which have rapidly developed in service economies. ServPPINs are collaborations between public and private service organizations, their objective being the development of new and improved services which encompass both technological and non-technological innovations.The book presents in-depth empirical research from different service sectors across Europe in order to explore the nature of these public–private collaborations. It elucidates the processes of formation, entrepreneurship and management, the types of innovations ServPPINs generate, and the nature of the public policies required to support them.","217247","Open Access","0.1445","-0.0911","13","","",NA,NA,NA,"",""
"","dedup_wf_001::953c80a22f675aca8d223a51fbae716a","Environment","Endogenous growth and environmental policy: are the processes of growth and tertiarisation in developed economies reversible? An evolutionary perspective","Benoît Desmarchelier","2010-01-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01111789/document","The starting point for this article is the idea put forward by Gadrey (2008, 2010) that environmental problems and a policy of addressing them by introducing an environmental tax could trigger economic contraction and downscaling and a shrinking of the service sector in developed economies. The purpose of this article is to test these hypotheses using an evolutionary simulation model. To this end, we use a model of endogenous growth and structural change into which an environmental dimension is incorporated. The results of our simulations certainly reveal structural change within service industries but no change in the distribution of employment between services and manufacturing. Furthermore, we show that the environmentally desirable stagnation of labour productivity in the capital goods sector is compatible with a largely positive growth trend in the economy as a whole, with the development of knowledge-intensive business services apparently able partially to offset the stagnation of productivity in the capital goods sector. We conclude by emphasising the need for environmental innovation in service activities and casting doubt on the long-term effectiveness of an environmental tax in the fight against pollution.","217247","Open Access","-0.4035","-0.4783","9","","",NA,NA,NA,"",""
"","dedup_wf_001::6e05e57114f0a84b1872c4de50544826","sustainable development","Innovation in services and entrepreneurship: beyond industrialist and technologist concepts of sustainable development","Faridah Djellal","2009-07-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01111795/document","International audience; The questions of innovation in services, on the one hand, and sustainable development, on the other, are relatively recent concerns for economic theorists and public policymakers alike. They have become key issues, which pose considerable academic, economic and political challenges. However, these two questions, and the problems they raise, have evolved independently of each other. The present article seeks to link them by con-sidering innovation in and by services and innovation-based entrepreneur-ship in services in terms of their relationship to sustainable development. Our hope in so doing is that we can play a part in moderating the in-dustrialist, technologist, environmentalist and curative concept of sustain-able development that is, paradoxically, still dominant in our service ec-onomies.","217247","Open Access","0.012","0.3439","10","","",NA,NA,NA,"",""
"","dedup_wf_001::d7fc16f3455350e000a4609827de2d3b","innovation","Innovation gap, performance gap and policy gap in the service economies","Faridah Djellal","2009-07-01","HAL CCSD","publication","","","https://hal.archives-ouvertes.fr/hal-01111800/document","International audience; This work is devoted to an analysis of the innovation-performance relationship in contemporary developed economies. It reveals a double « gap » relating to innovation and performance. The « innovation gap » reflects the difference between the reality of innovation produced in an economy and what traditional innovation indicators (R&D, patents) capture. As for the « performance gap », this measures the difference between the reality of performance in an economy and the performance assessed by traditional economic tools (mainly productivity and growth). It reflects a hidden performance, invisible to these tools. These two « gaps » blur the innovation-performance relationship. They are behind a certain number of paradoxes which this work intends to explain, and they lead one to question the legitimacy of some public policies which support innovation.","217247","Open Access","-0.414","0.2087","3","","",NA,NA,NA,"",""
"10.1007/s00191-008-0126-4","dedup_wf_001::22061d8a47975030d4e3931d2e29290a","Innovation","Innovation in services: A review of the debate and a research agenda","Faïz Gallouj","2009-07-01","Springer Verlag (Germany)","publication","","","https://halshs.archives-ouvertes.fr/halshs-01133781/document","International audience; This paper is devoted to innovation in services. It intends to provide a review of the debate and a research agenda. This paper identifies whether, and the extent to which, the ill-definition and mis-measurement of service output have influenced the conceptualization and analysis of innovation in services. We propose a reclassification of the literature on innovation in services according to whether it has been mainly assimilated or differentiated with respect to the more traditional consideration of innovation in the manufacturing sector. We also review the integrative (or synthesizing) contributions, and suggest a taxonomy for the modes of innovation in services, based on the Lancasterian characteristics-based approach to product definition. We conclude with a summary of the key arguments and a proposed agenda for evolutionary theory to integrate the conceptualization of innovation in services.","217247","Open Access","0.1406","-0.2864","7","","","207",156,NA,"",""
"10.1068/c12264r","dedup_wf_001::a40372fbed2b611f38aba23dc3745bd7","338.46:35(4-67EU) [udc]","Public services performance: an extended framework and empirical assessment across the enlarged EU","Di Meglio, Gisela","2016-08-31","Sage","publication","","Environment and Planning C: Government and Policy","http://www.envplan.com/epc/fulltext/c33/c12264r.pdf","Performance of the public sector is at the core of long-term wealth creation and welfare improvement. Yet, its measurement remains inadequate and flawed with data deficiency. In this paper we propose an extended framework for the assessment of public services performance that accounts for long-term impacts on welfare and empirically evaluate it across twenty-five European countries on the basis of a wide set of proxy indicators. We relate the performance scores to input costs indices and propose a coherent typology of countries that corresponds to the patterns of economic effectiveness of public services. The empirical analysis reveals that, because of differences in input costs across the enlarged EU, the economic effectiveness of public services varies to a much larger extent than the performance, with some relatively large-sized governments (Sweden, Denmark, Austria) being the most effective ones. Keywords: performance, effectiveness, European Union, public services","217247","Open Access","-0.6128","-0.0055","5","","","9",3,"6","",""
